SampleID	Env	SourceSink	id
D42E05J	Jejunum	Source	75
D42E06D	Duodenum	Source	76
D42E06J	Jejunum	Source	76
D42E07D	Duodenum	Source	77
D42E07J	Jejunum	Source	77
D42E08D	Duodenum	Source	78
D42E08J	Jejunum	Source	78
D42E09D	Duodenum	Source	79
D42E09J	Jejunum	Source	79
D42E10D	Duodenum	Source	80
D42E10J	Jejunum	Source	80
D01E01C	Cecum	Source	1
D01E01I	Ileum	Sink	1
D01E02C	Cecum	Source	2
D01E02I	Ileum	Sink	2
D01E03C	Cecum	Source	3
D01E03I	Ileum	Sink	3
D01E04C	Cecum	Source	4
D01E04I	Ileum	Sink	4
D01E05C	Cecum	Source	5
D01E05I	Ileum	Sink	5
D01E06C	Cecum	Source	6
D01E06I	Ileum	Sink	6
D01E07C	Cecum	Source	7
D01E07I	Ileum	Sink	7
D01E08C	Cecum	Source	8
D01E08I	Ileum	Sink	8
D01E09C	Cecum	Source	9
D01E09I	Ileum	Sink	9
D01E10C	Cecum	Source	10
D01E10I	Ileum	Sink	10
D04E01C	Cecum	Source	11
D04E01I	Ileum	Sink	11
D04E02C	Cecum	Source	12
D04E02I	Ileum	Sink	12
D04E03C	Cecum	Source	13
D04E03I	Ileum	Sink	13
D04E04C	Cecum	Source	14
D04E04I	Ileum	Sink	14
D04E05C	Cecum	Source	15
D04E05I	Ileum	Sink	15
D04E06C	Cecum	Source	16
D04E06I	Ileum	Sink	16
D04E07C	Cecum	Source	17
D04E07I	Ileum	Sink	17
D04E08C	Cecum	Source	18
D04E08I	Ileum	Sink	18
D04E09C	Cecum	Source	19
D04E09I	Ileum	Sink	19
D04E10C	Cecum	Source	20
D04E10I	Ileum	Sink	20
D07E01C	Cecum	Source	21
D07E01I	Ileum	Sink	21
D07E02C	Cecum	Source	22
D07E02I	Ileum	Sink	22
D07E03C	Cecum	Source	23
D07E03I	Ileum	Sink	23
D07E04C	Cecum	Source	24
D07E04I	Ileum	Sink	24
D07E05C	Cecum	Source	25
D07E05I	Ileum	Sink	25
D07E06C	Cecum	Source	26
D07E06I	Ileum	Sink	26
D07E07C	Cecum	Source	27
D07E07I	Ileum	Sink	27
D07E08C	Cecum	Source	28
D07E08I	Ileum	Sink	28
D07E09C	Cecum	Source	29
D07E09I	Ileum	Sink	29
D07E10C	Cecum	Source	30
D07E10I	Ileum	Sink	30
D14E01C	Cecum	Source	31
D14E01I	Ileum	Sink	31
D14E02C	Cecum	Source	32
D14E02I	Ileum	Sink	32
D14E03C	Cecum	Source	33
D14E03I	Ileum	Sink	33
D14E04C	Cecum	Source	34
D14E04I	Ileum	Sink	34
D14E05C	Cecum	Source	35
D14E05I	Ileum	Sink	35
D14E06C	Cecum	Source	36
D14E06I	Ileum	Sink	36
D14E07C	Cecum	Source	37
D14E07I	Ileum	Sink	37
D14E08C	Cecum	Source	38
D14E08I	Ileum	Sink	38
D14E09C	Cecum	Source	39
D14E09I	Ileum	Sink	39
D14E10C	Cecum	Source	40
D14E10I	Ileum	Sink	40
D21E01C	Cecum	Source	41
D21E01I	Ileum	Sink	41
D21E02C	Cecum	Source	42
D21E02I	Ileum	Sink	42
D21E03C	Cecum	Source	43
D21E03I	Ileum	Sink	43
D21E04C	Cecum	Source	44
D21E04I	Ileum	Sink	44
D21E05C	Cecum	Source	45
D21E05I	Ileum	Sink	45
D21E06C	Cecum	Source	46
D21E06I	Ileum	Sink	46
D21E07C	Cecum	Source	47
D21E07I	Ileum	Sink	47
D21E08C	Cecum	Source	48
D21E08I	Ileum	Sink	48
D21E09C	Cecum	Source	49
D21E09I	Ileum	Sink	49
D21E10C	Cecum	Source	50
D21E10I	Ileum	Sink	50
D28E01C	Cecum	Source	51
D28E01I	Ileum	Sink	51
D28E02C	Cecum	Source	52
D28E02I	Ileum	Sink	52
D28E03C	Cecum	Source	53
D28E03I	Ileum	Sink	53
D28E04C	Cecum	Source	54
D28E04I	Ileum	Sink	54
D28E05C	Cecum	Source	55
D28E05I	Ileum	Sink	55
D28E06C	Cecum	Source	56
D28E06I	Ileum	Sink	56
D28E07C	Cecum	Source	57
D28E07I	Ileum	Sink	57
D28E08C	Cecum	Source	58
D28E08I	Ileum	Sink	58
D28E09C	Cecum	Source	59
D28E09I	Ileum	Sink	59
D28E10C	Cecum	Source	60
D28E10I	Ileum	Sink	60
D35E01C	Cecum	Source	61
D35E01I	Ileum	Sink	61
D35E02C	Cecum	Source	62
D35E02I	Ileum	Sink	62
D35E03C	Cecum	Source	63
D35E03I	Ileum	Sink	63
D35E04C	Cecum	Source	64
D35E04I	Ileum	Sink	64
D35E05C	Cecum	Source	65
D35E05I	Ileum	Sink	65
D35E06C	Cecum	Source	66
D35E06I	Ileum	Sink	66
D35E07C	Cecum	Source	67
D35E07I	Ileum	Sink	67
D35E08C	Cecum	Source	68
D35E08I	Ileum	Sink	68
D35E09C	Cecum	Source	69
D35E09I	Ileum	Sink	69
D35E10C	Cecum	Source	70
D35E10I	Ileum	Sink	70
D42E01C	Cecum	Source	71
D42E01I	Ileum	Sink	71
D42E02C	Cecum	Source	72
D42E02I	Ileum	Sink	72
D42E03C	Cecum	Source	73
D42E03I	Ileum	Sink	73
