featureid	fun1	fun9	fun24	fun34	fun58	fun64	fun70	fun82	fun86	fun112	fun113	fun117	fun141	fun153	fun157	fun166	fun188	fun193	fun212	fun218	fun229	fun231	fun233	fun241	fun248	fun251	fun258	fun260	fun267	fun271	fun272	fun273	fun274	fun291	fun295	fun325	fun329	fun330	fun332	fun343	fun344	fun417	fun542	fun558	fun572	fun592
555	-2.5205754224584647	0.3838950656963547	-2.2770561953098056	0.08910608125701536	-1.7828955655240368	0.9535423898528526	0.7133661178098318	1.9202662091372198	0.07741057831771125	-3.1214140671797757	0.5332037787837405	0.7285547967571875	1.793940842041489	-2.198959513880138	1.6288005663485476	2.999237163625632	0.16749155776914648	5.8491678351215715	0.613914002600883	-3.0074035215305592	0.3396779730937496	4.283283388660324	0.718204402866652	-0.5110938504590445	-2.183011459053045	-0.19121314388655408	-1.7420426845967452	2.2329914025591484	-0.4866430305590641	0.9965799034389968	0.49804961644435713	1.6654695170251388	-1.832515885324069	0.6516041294891869	-1.4268759801369026	1.3269015226385967	-1.2179043695085428	1.6798585517822922	2.848311157850873	-0.9174612036087177	0.2595152989346783	-0.6859015515301222	0.3848634818005281	-3.055257883237972	2.8860673781070845	1.4938601109814158
710	-0.03992543965618567	-1.2941994173029001	-2.687938441751201	-0.1671606293036747	-1.0498456504259628	0.31079829334173614	3.2113778629150262	-0.2105171219938612	3.7096907230248704	1.3930683564883561	1.7657178556212385	-1.1210007783843288	0.34806442217844225	-1.5167251232373562	-4.131810401850555	-1.2002637778558924	-0.8721604481266625	-1.2550861251152656	-0.3765485911586145	1.020084559345339	0.885634850670717	-2.50484931767116	1.1010346501347843	2.18250263527939	-0.21711541746445556	0.06124987743960908	-0.7907373258836428	-0.7880601595266596	2.3778055592552216	2.149383265776036	2.566925480673403	-3.689389395702064	0.21771973972806424	-0.20655220690380272	-1.0811645109641903	1.8373887084738367	-1.1643198229597544	1.7091040427739363	-0.41198278278013006	-3.991756403096163	0.16449850379269582	0.28937362769026687	-1.814210999988692	1.3888004147205923	-1.9042852102979473	-2.1561203189059137
834	0.6130613144803243	1.4692551168021237	3.866938506828385	0.9093659646482258	1.6930004202476385	0.048546479383986485	-4.044115352044026	1.3708936242431897	-5.23266711737936	-1.7535361542010262	-2.488534384311422	0.8818841302147329	-0.32902176008190065	2.589555866085737	5.112481975120761	2.0346387740657885	1.3590768805606226	1.3127915192047976	0.5715516194891924	-0.7671634521854231	-1.1453454729641277	2.7287627907441157	-1.3502526194630582	-2.7434163952097426	-0.1473636397835562	-0.45209693107324656	0.7580741405036644	1.1810540401565928	-3.2266770466612464	-1.8973463438696359	-3.7884928929205706	5.127706821462111	0.3534108753082118	0.7236024845926737	2.1157618048195985	-2.846826993824995	2.2708277109985815	-2.3576848474631884	0.1371029315138111	6.045322837905281	0.43862068621988737	-0.029234634706298723	2.219087231066912	-2.0035024395144534	2.6981176549279007	3.3506709975866267
865	-0.629248317763752	-1.383390162057441	-2.4986146166263286	1.4824972954938511	-1.3174681995487156	1.7251989831316903	2.3638739959807262	3.8361676205543724	0.7701907082040413	-1.562582360063598	0.5537156552984404	-2.027711350338876	1.4667122828359953	-1.120725388833767	-2.2477642739570465	2.3518387840095176	-0.13036566577998077	2.224510872157382	0.10435574714136797	-0.3623995810169125	0.4164857419374992	-0.18060705144017114	1.0211683780811585	0.8102886295695304	-3.1523203207882418	-1.4253150669464056	-2.7630177867806527	1.2205091118773868	0.34711707181984286	4.0080196934878085	0.28448514191527813	-0.40813403052224323	0.2091995164157633	1.2091567604852433	-0.05608032595229062	0.4308733509306525	0.16704016190166726	1.458994160038488	0.3656182809174831	-0.991351925613027	1.6705899207224935	0.2681663360416692	-1.4880236546341474	-2.211375603305645	1.1991816823253196	0.9434901155440096
916	-0.3550025180575036	-1.6520167831763033	-1.7524447625885333	-2.5977313226478254	-1.0307247965506403	-2.447206250220466	0.15401070896416508	-4.788640171260331	2.010946706819177	1.9723962063804534	0.049747317021701765	-1.0430607817517268	-2.373613575378614	-1.588123314207923	-4.209919288369666	-4.90139078882748	-2.121216886879089	-5.411259589905789	-1.8685482302452274	0.6458768277666265	-0.7276738488776937	-4.585337763814698	-1.0370155121200695	0.49383196480205144	1.3180988955188724	-0.08960368406248387	0.33791995470719804	-3.463048321166418	1.043943446371022	-2.2676644976638034	1.1038550970576344	-5.151904598994387	-0.8562791849490329	-2.536864364019166	-2.0939403513796835	0.06818518616334127	-2.39098604307293	-0.9161813962432017	-2.5325262387519145	-4.530002456026446	-2.423567709771822	-1.043883472944362	-2.1172996003608637	2.450908858194783	-4.740476373627507	-4.542627922673177
956	1.6324265136010123	1.1065370392719671	0.7921235658102841	0.5157776743751191	1.2847729240734878	0.6894653231263586	2.259933440977364	-0.6407780412242637	3.326660576066492	2.993358825572397	2.1694933385338477	1.5082172691086344	0.8109172281665947	0.9071955332865345	-0.3457538183260036	-0.616526779119434	0.8065905361534456	-0.6644078975716234	1.0029082864978816	2.199850923400498	1.6769440945006182	-0.31664827245682553	1.5256445437927793	2.3457015160654104	2.673644591946948	2.0071387519876294	2.118551475759448	0.1843421493921289	2.680815100741657	0.8146334889996802	2.809621326556622	-0.9076061892281903	1.3942509374275076	0.6044915747161005	0.674377107640501	2.254608685229741	0.5135346658074185	1.691620780503718	0.8067194746208517	-0.7712187734709248	0.6397892258211115	1.3873014651893598	0.821929029913989	3.2890129970044426	-0.5349010313832454	-0.5448537406445859
965	2.4261529468929472	1.025696826227881	2.111084686103986	2.4240343878038564	2.0132461625872433	1.9960137319154085	1.5328892589999228	2.900283264266195	0.7681729713948886	1.7165042271399131	1.0581716522153624	0.44413712961450913	1.4363890023414103	2.4767734865775894	0.8603604828227622	1.868494847937139	1.7038410970536058	0.45591260008233414	1.460666966662425	2.464436928579561	1.3625498728934335	0.24689258923262108	1.452962527711868	1.5679029598434455	0.8951534304996791	0.834656946604373	1.0954017953565476	1.4542006961452985	1.2266312939708235	2.672500947246884	0.6656567015158805	1.7458400206082076	2.4899380375143547	2.0170291770699715	2.5675775131659537	0.5907650058659665	2.6219450851370274	1.0487860225037071	0.5593950302169977	2.7397108502717247	2.3454529281454968	1.9580955185225957	1.1350064008610974	1.3206450889081651	1.4960819821238247	2.0945065711943585
1486	3.119516194453043	-4.174548704344384	-1.3230302527124795	2.216660643730214	0.21396415692133486	1.054597757971331	3.062402241948279	3.3242563386325323	1.1725376946678316	2.5629142634679947	-0.32774747276244254	-6.114250797214858	-1.1010131134366858	1.3788507190379902	-8.592151748735642	-1.8327018808005129	-1.2139950375190596	-7.664471825188347	-1.5758491767629716	4.699146760570448	-0.2998569380073768	-9.508738526676835	0.1834696016360925	2.2650305213164006	-2.584412934761808	-3.0112788192008026	-2.7203242863630646	-2.5551555561352397	1.3090824079832664	5.688021326363936	-0.7204542998567101	-4.953831971886162	3.46886538162598	0.5705222673245066	2.028566375236947	-2.1155210438082905	2.057486800014029	-0.7666373894060801	-5.424761606430441	-1.0963276680964684	2.2911116009611465	1.3538794721665415	-4.432085428878701	1.1412927950879825	-3.9741704514598957	-1.7856551213055338
1500	-0.4612127658990295	0.17860415388330234	-2.5238792497654483	0.9713549930979933	-0.8740719385270954	1.8683686296982918	4.124774411592754	2.025644888682218	4.147799747005043	0.3596280199726567	2.80895828537621	0.5116326496987009	2.383083516736602	-1.4979405418249188	-1.4460258709164622	1.816850635827233	0.41555004933196305	3.4217971527050506	1.0861284032267773	0.13306792725287608	1.9690058415788618	1.4548079909768978	2.373872681764146	2.5494509849028826	-0.44341256658109524	0.9613464723814888	-0.6565734462550044	1.6997316147393051	2.7199690129912333	3.4354094168391214	3.4438449750598914	-1.0390940617772506	0.1600023095036941	1.2604606015848305	-0.677600708612399	3.325181481726946	-0.6223811939435251	3.4361589710675506	2.35375636576727	-2.7906070178421625	1.3442893048752032	0.8827481252806831	-0.25040400964886755	0.38577416792310626	1.1578699003990232	0.1411432694449113
1531	-1.4949824741532238	-0.14858714801207926	1.5187331014003487	-2.7274980999454934	-0.3613663336339177	-3.2107823024340814	-5.624181014433846	-4.173052980244355	-4.976966894456971	-1.9097111151666302	-3.4921671227761695	0.1413698874389342	-3.0775248166613824	-0.1548279990358894	2.3578987584596147	-2.552829219287582	-1.2228172538310362	-2.4407346179842224	-1.7202881467096414	-2.4001106447837106	-2.7856517663192246	-0.05821793506019696	-3.3185925932623075	-3.9370193997220224	0.21175966773970606	-1.0666506430911142	0.37284660130981884	-2.1380818767442267	-3.789915563864286	-5.9191782258752585	-3.8744698607203083	0.9056316731081019	-2.2003254982430267	-2.5240624149769952	-1.132103486125855	-3.459675247290602	-1.2134227962985698	-4.011324829987794	-1.8561819582040235	1.4775101929601986	-3.0693839341966065	-2.281037778462016	0.2791759479287763	-1.4968934398192295	-1.3441561973695406	-1.0096404656075064
1726	1.599424273312202	-1.9621030467294311	0.367036759818836	0.5542421064413262	0.43579651733072167	-0.3107022998468614	-0.1980618887630135	0.557492823836592	-0.987139322365514	1.1129685414782968	-1.2076384030851979	-2.9357016950428587	-1.4751972274083585	1.1828281364001152	-3.400571817068223	-1.672396309589672	-0.7450555726595445	-4.931044813720419	-1.1622720889586868	2.1102268567445055	-0.8917123918511174	-4.954728000281291	-0.8466440258197762	0.07275269399506684	-0.8985136723257625	-1.6912583900000322	-0.909328650297196	-1.9004496031699225	-0.4045912026975267	1.1571220426480175	-1.59084169677976	-1.9624286766314702	1.4942775679974982	-0.2915096400355489	1.1315591506559697	-2.206911535243953	1.1123402139103273	-1.6811444387539947	-3.403633582330657	0.4702059078837566	0.4506627532089933	0.2605559954449338	-1.9263453169961138	0.48519224048389875	-2.368556601929361	-0.9845466614828675
1767	2.1706367661014747	2.3455951477269785	3.728950432827208	0.37251052484883107	2.637944889461834	-0.0021525050652939637	-0.7951421995833559	-1.463803212776225	0.2715055430841058	2.6679315891154896	0.6149618930659497	2.6849353631627775	0.013479751099674031	2.654164841199938	3.099488234496624	-0.5398822063733111	1.5117712989195589	-0.9435662695440326	1.2056403082405467	1.9257977724540145	0.8728169975016749	1.073822127129371	0.3803828147401428	0.5718661822525755	3.7780550678379363	2.2723924945481824	3.5385386507860632	0.25941623621421983	0.8335757922313003	-1.7586572443335309	0.6840826984413584	1.8416886457903414	1.4701088113432768	0.46308817949556647	1.760984620940997	0.5524742060843825	1.592992350030924	-0.15378631995107472	0.6602578325434156	2.7045636679528364	0.17841091605958415	1.2296321906923553	2.489665525389113	3.0810417580748695	0.3275786020473874	0.7686082040993805
1973	-2.2070337617888836	0.9455960236246019	-1.277035113633906	0.4600118937339964	-1.2256667514681638	1.1692294763178783	0.1118537130144967	2.3578494847001936	-0.7260426659867785	-3.2554546175823273	0.27839761333715607	1.2000194916712952	1.9613147144002832	-1.4821103470159518	2.948218833485731	3.627852067526088	0.6697105198628339	6.402336292429178	0.9669887630181918	-2.9793205004897425	0.3445418978257033	5.141005852136747	0.6757356596766543	-0.8449700967728153	-1.9435064745498518	-0.013721055868543885	-1.3280401841404763	2.70993981890686	-0.9010259517545998	0.7749055499131922	-0.003376972895017094	2.939373703527455	-1.5767795026180056	1.005285579160489	-0.8130749017634447	1.0222802508571402	-0.5754674033768254	1.4503509758464816	3.15760509886867	0.49517377173390553	0.5371278608083845	-0.4820269205836747	1.0949346445601575	-3.2195651513630326	3.671830094472323	2.38342686277647
2097	-1.3547197125123616	-1.0061887629046062	1.0881972669470255	0.7442032708825942	-0.6178083451388834	-0.14006462160331368	-4.673860478576155	3.2748691257147393	-7.48755809404762	-5.0708993397367905	-4.274738108449043	-2.2953182184469583	-0.8483614629202877	0.6707086041455226	2.7547063263587175	2.808355292931485	-0.07347418033716924	1.7357173008307112	-0.8599784691731139	-2.8288951281100427	-2.7229246710417105	1.483254812450925	-2.4702648803974636	-4.349611668191532	-4.45522672251672	-3.412315594547151	-3.013557856227349	0.8083994705077306	-5.340971341949727	-0.6150107397952473	-6.119794667658409	4.3342628355508435	-0.9803940792621778	0.26483052447641653	0.972512043382471	-4.846276679006455	1.3493968531910632	-3.3744683274132914	-1.233998593222784	5.0431898578738314	0.31250476471603683	-1.436556056686717	-0.16452582936624213	-5.936461948246265	2.6556220905343815	3.2831987136462475
2348	-0.9825094199882776	2.818907206771982	1.9157971673294387	-2.2923307176171916	0.6939876290579678	-1.778416612007277	-2.4090923928727044	-4.7579737668594415	-0.04783538131449494	0.47182610748700027	0.27849404287888246	4.346637186703337	-0.5072381240246245	-0.1693702497026679	4.824414125916564	-1.3281303066135062	0.48549824793426755	1.601570978882283	0.6144524152684957	-1.6550904104163722	0.12119010070368441	4.087811359920311	-0.5452367822105747	-1.0666496973078312	3.8007607308066937	2.6876233216060785	3.385246572837543	0.059708160932931964	-0.1718340833189651	-5.345718640634026	0.9331016164648267	1.6930176371102428	-1.7577488127474528	-1.27420845180619	-1.2274695756268663	1.2772082976529218	-1.4469852218514916	-0.2516130980472564	2.2739234616763064	0.18946146301486033	-2.3768059643827515	-0.7462748235557511	2.8750497965065063	1.6943931682846554	0.440801099564029	-0.4960608098909338
2480	0.6990037730455676	0.2369891456392457	0.3255430654643856	-0.09423225305367355	0.49178941010072785	-0.08552832714241121	0.6690356453230082	-0.851805231097115	1.2682202777346177	1.4198346260229044	0.6837668853924419	0.4197384047677277	-0.08829692820440715	0.3407109893900484	-0.536230759963991	-0.8877162298882932	0.080314882061844	-1.1347784668270795	0.13129463799937258	1.0018332797375733	0.46944645381120376	-0.7820178646586944	0.35071652974221823	0.845807162835676	1.2343329428619558	0.7135977484954279	0.9258994544530736	-0.4176660239069645	1.0137675161315154	-0.08661413153626563	1.000969637974139	-0.8519548717140321	0.509251123151916	-0.08821206862050113	0.13940094906072553	0.6661056861724365	0.040509357921541866	0.34399243882604313	-0.14526883027087972	-0.5684034213074711	-0.051429855984699735	0.41522054991906787	0.10368106934914459	1.5731843469998092	-0.811475451333219	-0.699681255670042
2497	1.4739299673101518	0.47572175626236723	3.113359808073019	0.8337731541493206	1.6858427016141238	-0.10095742877624603	-2.541945285276701	0.7278220905957461	-3.3398209417239633	0.019993698694653173	-1.8029577488555115	-0.20637398751041025	-0.8095925449847289	2.517797937732489	2.087419368338625	0.339534057723035	0.7642224685552295	-1.5433294780482494	0.07675023886693266	0.857314880355281	-0.8524913282375279	-0.3416792917967421	-1.0487253618460441	-1.4105266386466762	0.2984489188724809	-0.5166015408662212	0.7602873159001096	-0.08185635121858637	-1.8359636910033097	-0.935623603127562	-2.6929036847409242	2.4559216099185384	1.1401833866803752	0.3848282392676984	2.0469222369265383	-2.446520807244151	2.0930482577289684	-2.086312562057392	-1.2375692078984826	4.190887732599976	0.48199481709672476	0.3467395334967699	0.9466666548714877	-0.3073048617044428	0.5949505119479945	1.6461198166127557
2651	0.7510655388764762	-1.6552384478064401	0.07003084785066974	1.174622378087357	0.0028141799303527115	0.46095808528830173	-0.43569747798703284	2.446516954760098	-2.079478511001515	-0.747609846136982	-1.4710643471475469	-2.7796244057209494	-0.5356527866381652	0.8600826948746747	-1.866285829775248	0.49535143349138155	-0.300974359652749	-1.9045417892295222	-0.7036908770063425	0.7806031731820335	-0.9149395590875286	-2.630647689823776	-0.6594412959186516	-0.5976562114081194	-2.314636617910267	-2.097505246830707	-1.8546155158034585	-0.4582692050438246	-1.2781916274445924	1.8996511584539315	-2.2546029136616865	-0.04954428835509213	1.0031760004064303	0.43611475740054584	1.189903017236296	-2.2910775345464867	1.332323965301967	-1.3062871765910815	-2.169545707439626	1.537058221393992	1.0495096645840842	0.11022690855773265	-1.4486728023919273	-1.5439419740207891	-0.3007020346503757	0.6787657650193628
2695	1.3155217701203579	0.9829558955306601	0.018491805904595565	0.7922279483935798	0.8878385923768728	1.166163884301956	3.0814375017346904	0.15534296308021778	3.9324154026098332	2.6387927099745476	2.6097332042421453	1.3783125583821827	1.3819658590683797	0.4231495988177454	-0.6898279573461759	0.06021902135992632	0.8373728761591694	0.3967891198729192	1.1767746444232565	1.9565326352209758	1.979688333755222	0.11869000878691899	1.9735250968460532	2.710184700748465	2.101561814569198	1.9413859052918494	1.590942630906465	0.6701685622175284	3.0185058448825663	1.74908783299396	3.2986042410245866	-0.9938991616377336	1.2965661944806381	0.9249551414727218	0.4667674036134435	2.8002249318448538	0.3517021343109006	2.388754628993519	1.3222207893353617	-1.3204492890749249	0.9956796722112586	1.465322210384306	0.6314818015060797	2.8698719400594315	-0.0780069529790679	-0.3405003919594627
2715	1.7018039013934574	0.8564119833652485	-0.4391157160964947	1.6617716027015534	0.9245041180466105	2.1094366636622843	4.520445665253594	1.6328355399022993	4.974402340408697	2.919131487401939	3.3673880514977412	1.0541959813099362	2.205143804150467	0.49471009269984	-1.4284425116429498	0.9302033630154043	1.1434413152140825	1.0676275311032914	1.5798376322820817	2.556276452076175	2.617177105869472	0.02144125819826953	2.795475518231209	3.6434478891842796	1.6876203329747632	1.9693481297230526	1.2124520163616643	1.2819933331496736	3.8308546283836926	3.5645900087913214	4.055839351763289	-1.1347250705387355	1.9248244816038467	1.6763263833984863	0.8629169076212082	3.483613073415843	0.7955354652042743	3.3506790119237344	1.6780365911284183	-1.5260539022977335	1.9449783286641473	2.0549162625830606	0.4211625508523087	2.9492968943240148	0.3794182175961027	0.09069946454455291
2895	-2.1435544216925084	-1.3506293109646075	-2.5635559791696947	-2.1917200238638253	-2.0719923196473107	-1.7296829407464285	-0.6132049233876983	-2.6016525068552965	0.13304624502313245	-1.2031132261393975	-0.6009515521450635	-0.834514561831283	-1.2758481003542848	-2.5589325929162863	-1.9534682799942802	-2.025982451240548	-1.7869053515160256	-0.9227731469989808	-1.4713956977416784	-1.9018648673853134	-1.0637053457996355	-1.0560024209656775	-1.0876199681097802	-0.8954948447178375	-0.9518142208994647	-0.8484305143632431	-1.2586764154202479	-1.5857115251870026	-0.5750509051439008	-1.808777225095947	-0.0754845442210354	-2.5515071377589096	-2.135133497578636	-1.873639818278673	-2.5320634699752285	-0.20708479391550236	-2.598238445270848	-0.6102546489123482	-0.7660336613198822	-3.415545221334037	-2.0406391216318296	-1.6912825061999146	-1.5708694787649113	-0.8824690837570087	-1.9053238471120912	-2.443514074934712
