"","S1","S10","S11","S12","S16","S17","S18","S4","S5","S7","D05E01","D05E02","D05E03","D05E04","D05E05","D05E06","D05E07","D05E08","D05E09","D05E10","D08E01","D08E02","D08E03","D08E04","D08E05","D08E06","D08E07","D08E08","D08E09","D08E10","D14E01","D14E02","D14E03","D14E04","D14E05","D14E06","D14E07","D14E08","D14E09","D14E10","D21E01","D21E02","D21E03","D21E04","D21E05","D21E06","D21E07","D21E08","D21E09","D21E10","D28E01","D28E02","D28E03","D28E04","D28E05","D28E06","D28E07","D28E08","D28E09","D28E10","D35E01","D35E02","D35E03","D35E04","D35E05","D35E06","D35E07","D35E08","D35E09","D35E10","D42E01","D42E02","D42E03","D42E04","D42E05","D42E06","D42E07","D42E08","D42E09","D42E10"
"241",20.9260069621954,19.7505308818063,19.5495882053065,19.4791381625418,17.6594728073169,19.4938253126182,20.3084759276232,19.726373411625,19.6814704829474,20.253945379295,15.9432702927336,15.2799732403744,16.3683700428947,20.9844483607226,20.5744189078034,20.0538118941106,19.725146545469,20.8015489136135,20.8930733658066,19.8218502619561,16.0851197093223,17.2358459573898,15.8027687742828,20.0613329538991,20.2956994413576,20.1776689298906,20.0048239506216,18.6488209902118,19.7803779652558,19.5779911647257,16.2202460544313,15.8152581954397,16.596320808971,20.9257391400697,19.6040971027327,20.1836644552688,20.0207575380981,20.1987927235916,19.8461453384535,20.233449992469,16.9018096843236,16.3439143756088,15.6877310640782,19.4638615874516,20.3733165541611,20.6412218185936,19.6323420662883,19.3107348056378,14.2799732403744,14.2799732403744,16.6105779215761,16.4911641451585,16.4663951552147,14.2799732403744,14.2799732403744,14.2799732403744,14.2799732403744,14.2799732403744,14.2799732403744,14.2799732403744,16.3670563537356,16.3123689319701,16.2418156098343,14.2799732403744,14.2799732403744,14.2799732403744,14.2799732403744,14.2799732403744,14.2799732403744,14.2799732403744,16.0737650147743,16.4133138918491,15.8591707666727,14.2799732403744,14.2799732403744,14.2799732403744,21.4913178176058,14.2799732403744,14.2799732403744,14.2799732403744
"254",18.7876762280343,18.8626948617954,17.8194369267371,18.1645730763173,18.919355097711,17.1587575947402,17.5072061959083,17.4714291351634,17.3282103378217,16.7440717234295,19.7586249992165,20.3635658591649,20.142306531211,15.6019303440696,15.6019303440696,15.6019303440696,15.6019303440696,15.6019303440696,15.6019303440696,15.6019303440696,19.1442325284361,19.1205948005624,19.9630865729642,15.6019303440696,15.6019303440696,15.6019303440696,15.6019303440696,15.6019303440696,15.6019303440696,15.6019303440696,18.3910379598463,19.1459520416321,18.9803488023497,15.6019303440696,15.6019303440696,15.6019303440696,15.6019303440696,15.6019303440696,15.6019303440696,15.6019303440696,16.9089789248795,18.441286703827,17.822888202889,15.6019303440696,15.6019303440696,15.6019303440696,15.6019303440696,15.6019303440696,15.6019303440696,15.6019303440696,17.8663915049104,19.5295868762773,19.094435984416,15.6019303440696,15.6019303440696,15.6019303440696,15.6019303440696,15.6019303440696,15.6019303440696,15.6019303440696,17.7594071006721,18.7964452590619,18.522110230703,15.6019303440696,15.6019303440696,15.6019303440696,15.6019303440696,15.6019303440696,15.6019303440696,15.6019303440696,17.2202177085825,16.6019303440696,17.346210715996,15.6019303440696,15.6019303440696,15.6019303440696,15.6019303440696,15.6019303440696,15.6019303440696,15.6019303440696
"261",15.2656516700814,15.2656516700814,15.2656516700814,15.2656516700814,15.2656516700814,15.2656516700814,15.2656516700814,15.2656516700814,15.2656516700814,15.2656516700814,15.2656516700814,15.2656516700814,15.2656516700814,16.6195322275721,16.7208320773697,16.7981426816657,16.4708018401902,16.4996590619206,16.6798236883139,15.2656516700814,15.2656516700814,15.2656516700814,15.2656516700814,16.7301251313323,16.7193219685331,16.4891737342598,16.7425594436618,16.6925201542719,16.822334312342,16.8556958259946,15.2656516700814,15.2656516700814,15.2656516700814,16.7790011114469,16.6726325156067,16.7514263750607,16.7628621304212,16.8050762697599,16.7734612009272,16.8430377385387,15.2656516700814,15.2656516700814,15.2656516700814,16.6672363085065,16.4016961898005,16.647879975398,16.6527609626926,15.2656516700814,16.8478525867834,15.2656516700814,15.2656516700814,15.2656516700814,15.2656516700814,16.7514656041368,16.7862185687381,16.6973341284292,16.7387124302692,16.8099941600171,16.7780386174439,16.7378546768387,15.2656516700814,15.2656516700814,15.2656516700814,16.3455785038774,16.9685993002691,16.2656516700814,16.899109056443,16.8180453607153,16.8485251405418,16.9259716114091,15.2656516700814,15.2656516700814,15.2656516700814,16.7856184911437,16.7105105045318,16.9545030504422,16.8125408421274,16.8825236476518,16.9242558009012,16.9265160705384
"283",15.9432016011473,17.2591271772811,16.7623690610412,16.6645861694832,15.0230612497353,16.1390116796907,16.3453879198574,16.14833754925,16.4473092755053,17.8038158006469,13.381610542135,13.381610542135,13.381610542135,18.8685121153168,18.6934257004651,18.2997178093666,19.2363599456853,18.0732995474494,18.6225309027732,18.7383166074395,13.381610542135,13.381610542135,13.381610542135,18.9231011179466,18.8129042871579,18.536152338368,18.2778594675699,18.7197464287188,18.9100043840739,18.4555800743791,13.381610542135,13.381610542135,13.381610542135,18.330540543813,17.8263374499014,17.8033996040512,18.8173927969898,18.1734038727282,18.0156165016235,18.4869685400779,13.381610542135,13.381610542135,13.381610542135,17.131575659086,18.842641912594,18.0329389532868,18.804777008046,19.1266238190324,17.8291652675323,18.1828647123217,13.381610542135,13.381610542135,13.381610542135,17.9818961228826,18.0095990237798,18.0534857873356,18.4267561414304,18.2005250892776,17.965000733598,18.1462405000719,13.381610542135,13.381610542135,13.381610542135,17.7940985157109,18.0168572441412,14.381610542135,17.8194494010788,17.5395980729865,18.4419148073628,17.6208927810913,13.381610542135,13.381610542135,13.381610542135,17.0078485385572,16.7842897719962,17.807021532024,17.9106368753642,18.9317589925019,18.0046100168883,17.5920627884753
"370",14.9612914161373,14.9612914161373,14.9612914161373,14.9612914161373,14.9612914161373,14.9612914161373,14.9612914161373,14.9612914161373,14.9612914161373,14.9612914161373,14.9612914161373,14.9612914161373,14.9612914161373,17.3705597079344,17.4848071634646,17.2442430355743,17.6274626371067,17.2605520523086,18.0616665199784,18.0170748082866,14.9612914161373,14.9612914161373,14.9612914161373,16.9319263133359,16.5538542475352,16.7258854452023,17.8228944251703,17.8924005133022,17.5124781419885,17.5887878223948,14.9612914161373,14.9612914161373,14.9612914161373,17.039390325237,15.9612914161373,16.2698571946549,17.4833591958117,17.1811231323984,16.91694075437,17.5912082129791,14.9612914161373,14.9612914161373,14.9612914161373,16.6914572850285,16.5070667923623,16.4967445727221,16.4971189543102,18.1165521053458,14.9612914161373,14.9612914161373,14.9612914161373,14.9612914161373,14.9612914161373,14.9612914161373,14.9612914161373,14.9612914161373,14.9612914161373,14.9612914161373,14.9612914161373,14.9612914161373,14.9612914161373,14.9612914161373,14.9612914161373,14.9612914161373,14.9612914161373,14.9612914161373,14.9612914161373,14.9612914161373,14.9612914161373,14.9612914161373,14.9612914161373,14.9612914161373,14.9612914161373,14.9612914161373,14.9612914161373,14.9612914161373,14.9612914161373,14.9612914161373,14.9612914161373,14.9612914161373
"392",18.7878356200118,16.8971836909609,16.7135610412653,17.4303708750419,17.9524625715874,17.3149549155232,17.3260958815057,16.9606015724091,18.6366954168908,17.9792242115552,14.7931968590609,14.7931968590609,14.7931968590609,14.7931968590609,14.7931968590609,14.7931968590609,14.7931968590609,14.7931968590609,14.7931968590609,14.7931968590609,14.7931968590609,14.7931968590609,14.7931968590609,14.7931968590609,14.7931968590609,14.7931968590609,14.7931968590609,14.7931968590609,14.7931968590609,14.7931968590609,14.7931968590609,14.7931968590609,14.7931968590609,14.7931968590609,14.7931968590609,14.7931968590609,14.7931968590609,14.7931968590609,14.7931968590609,14.7931968590609,14.7931968590609,14.7931968590609,14.7931968590609,14.7931968590609,14.7931968590609,14.7931968590609,14.7931968590609,14.7931968590609,14.7931968590609,14.7931968590609,14.7931968590609,16.8829892584485,17.3451886460044,14.7931968590609,14.7931968590609,14.7931968590609,14.7931968590609,17.3681056951182,14.7931968590609,14.7931968590609,17.4587510322244,17.768979025449,17.6691618877893,14.7931968590609,16.4144870497995,16.7458187333208,16.4573648461883,16.0492742493375,16.2515193947401,16.4556964526313,17.5852633243398,17.7289169607117,17.7076152696831,14.7931968590609,16.5286830239843,16.8590129962696,16.1474633210512,16.1959872980285,14.7931968590609,15.7931968590609
"395",21.8312770863007,19.2272093197033,18.7639611982476,18.4447035241759,19.0139877686242,20.4941885790982,19.4219764516321,21.1363628592308,20.8869624709327,19.5719877465515,19.1403929387852,19.0760013466751,19.0165525992071,19.1577046631135,19.7845741441544,19.8147482992165,19.2066113856792,19.3529356931937,19.276556094805,19.3341161280334,18.7686980228017,18.5443758640929,18.5842175088681,19.7005091445438,19.0658473471799,20.1195604930016,19.486165279064,19.4771890686473,19.4489894067334,19.4615813628007,18.6763600064359,18.2285885547684,18.7076253794451,18.6170584638897,19.3338192286879,18.8016673152752,19.3946050411798,19.3988918778285,19.363542332703,19.2997893445643,18.4673149886869,18.5475573108255,18.5322722080692,19.003666135612,18.923063386581,18.6642840776627,19.3511743356188,19.2361940876562,18.9833888984443,19.3788494105505,18.601698257273,18.5068731539772,18.0411350700301,19.2264027845319,19.2511980635344,18.9152696095938,19.2186270867465,19.237548426222,19.2435761329704,19.2696266656463,18.2618470077276,18.1992266092703,18.3033749688044,19.1808027244493,19.2715633331593,19.2511795674738,19.468363520419,19.290115619918,19.3540211874609,19.3501147609262,18.2121686181723,18.2554896685886,18.0095826228396,18.6945721369925,19.287640242994,18.8503577860981,19.3374629312916,19.522167714624,19.4304096720147,19.473777083647
"408",12.5361257716003,12.5361257716003,12.5361257716003,12.5361257716003,12.5361257716003,12.5361257716003,12.5361257716003,12.5361257716003,12.5361257716003,12.5361257716003,15.6575417597034,14.8782904476775,14.7074669850351,14.6318591272828,16.287640242994,15.4801590732845,14.4250191587427,12.5361257716003,15.5478283893646,14.2352663327569,14.6249096608902,16.8443379832794,13.9603640088778,15.3099026191835,15.3061685201175,14.156478151199,15.310861255962,14.4254126210291,15.2730670757221,12.5361257716003,15.7228875601096,14.1034517417161,14.8001921264691,16.4812475961744,16.3740545754023,16.367483007346,17.2741233148015,14.8982707161533,15.8619350156386,16.5984887331058,12.5361257716003,15.3711980892968,12.5361257716003,12.5361257716003,12.5361257716003,16.4849015456772,14.7349212677053,12.5361257716003,16.2630674261249,12.5361257716003,13.5361257716003,12.5361257716003,16.9715323277567,17.9490401437023,17.8439517121575,18.2977223369047,16.9946407096579,15.4014128787142,17.5432055593009,16.4714847051098,15.6276763686503,16.0709175618782,15.6157445698533,16.7844814897199,17.3070584683543,15.9575782047354,16.1842942436774,14.5700928741881,17.4299787628691,16.6910346450936,14.1690637610591,15.8611838580495,14.3629026937047,12.5361257716003,12.5361257716003,16.1059085085712,16.068421422057,15.7706638929168,15.2474825347609,15.4575732597872
"436",13.0240141813129,13.0240141813129,13.0240141813129,13.0240141813129,13.0240141813129,13.0240141813129,13.0240141813129,13.0240141813129,13.0240141813129,13.0240141813129,13.0240141813129,13.0240141813129,13.0240141813129,18.1665897305135,18.4684132420857,18.6693556886375,15.7656486955439,15.6046690477313,16.1745746380821,15.3454398998143,13.0240141813129,13.0240141813129,13.0240141813129,17.9815617076811,17.0230070869935,17.3693332233083,15.4248879807975,15.2542905051171,15.0536713855952,15.4027789253209,13.0240141813129,13.0240141813129,13.0240141813129,17.3528796733141,17.0392189481643,16.7280267813526,15.2303582462614,15.1333830696939,15.0298479743041,15.0668039683433,13.0240141813129,13.0240141813129,13.0240141813129,15.9706901141396,15.3572427047118,16.5521887595572,14.0240141813129,14.7299393247713,13.0240141813129,13.0240141813129,13.0240141813129,13.0240141813129,13.0240141813129,13.0240141813129,13.0240141813129,13.0240141813129,13.0240141813129,13.0240141813129,13.0240141813129,13.0240141813129,13.0240141813129,13.0240141813129,13.0240141813129,13.0240141813129,13.0240141813129,13.0240141813129,13.0240141813129,13.0240141813129,13.0240141813129,13.0240141813129,13.0240141813129,13.0240141813129,13.0240141813129,13.0240141813129,13.0240141813129,13.0240141813129,13.0240141813129,13.0240141813129,13.0240141813129,13.0240141813129
"469",11.632995197143,17.02550728496,11.632995197143,13.7765358434222,15.077274715119,12.632995197143,11.632995197143,13.5159461791095,14.8447057644119,11.632995197143,14.3157156580222,11.632995197143,12.8811139606751,11.632995197143,11.632995197143,11.632995197143,16.2387219361331,11.632995197143,14.8484273340239,11.632995197143,11.632995197143,14.4735789248608,13.2603315185576,14.2250567716997,11.632995197143,11.632995197143,11.632995197143,11.632995197143,11.632995197143,11.632995197143,14.1117062437208,17.8632243983307,15.5378857110839,15.8591950375111,11.632995197143,13.8993569229231,11.632995197143,11.632995197143,13.2519261574964,11.632995197143,14.4795276692563,11.632995197143,11.632995197143,15.5028939450028,11.632995197143,11.632995197143,11.632995197143,11.632995197143,11.632995197143,11.632995197143,13.9062329675382,13.8193807908646,17.6458413467991,11.632995197143,11.632995197143,15.3946301597048,16.4513077176407,11.632995197143,11.632995197143,15.9517172764671,14.8421047657597,14.8557444843207,11.632995197143,14.988551557933,11.632995197143,11.632995197143,11.632995197143,11.632995197143,12.6341303730933,14.5534493057631,14.2426531146385,14.1919845133603,15.1050491159788,11.632995197143,11.632995197143,14.7781798234202,11.632995197143,11.632995197143,11.632995197143,14.4941055480611
