index,D_0__Archaea;D_1__Euryarchaeota,D_0__Bacteria;D_1__Acidobacteria,D_0__Bacteria;D_1__Actinobacteria,D_0__Bacteria;D_1__Armatimonadetes,D_0__Bacteria;D_1__Bacteroidetes,D_0__Bacteria;D_1__Chloroflexi,D_0__Bacteria;D_1__Cyanobacteria,D_0__Bacteria;D_1__Deferribacteres,D_0__Bacteria;D_1__Deinococcus-Thermus,D_0__Bacteria;D_1__Elusimicrobia,D_0__Bacteria;D_1__Entotheonellaeota,D_0__Bacteria;D_1__Epsilonbacteraeota,D_0__Bacteria;D_1__Firmicutes,D_0__Bacteria;D_1__Fusobacteria,D_0__Bacteria;D_1__Gemmatimonadetes,D_0__Bacteria;D_1__Lentisphaerae,D_0__Bacteria;D_1__Nitrospirae,D_0__Bacteria;D_1__Omnitrophicaeota,D_0__Bacteria;D_1__Patescibacteria,D_0__Bacteria;D_1__Planctomycetes,D_0__Bacteria;D_1__Proteobacteria,D_0__Bacteria;D_1__Rokubacteria,D_0__Bacteria;D_1__Tenericutes,D_0__Bacteria;D_1__Verrucomicrobia,D_0__Bacteria;D_1__Zixibacteria,Group1,Group2
D14E04C,0.0,0.0,313.0,0.0,35893.0,0.0,148.0,0.0,0.0,0.0,0.0,55.0,128692.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,334.0,0.0,502.0,0.0,0.0,Cecum,D14C
D14E04D,0.0,0.0,262.0,0.0,2442.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,125751.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,1715.0,0.0,76.0,90.0,0.0,Duodenum,D14D
D14E04I,0.0,0.0,21.0,0.0,232.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,104407.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,Ileum,D14I
D14E04J,0.0,0.0,35.0,0.0,271.0,0.0,2.0,0.0,0.0,0.0,0.0,15.0,74838.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,Jejunum,D14J
D14E05C,0.0,6.0,363.0,0.0,23563.0,0.0,146.0,0.0,0.0,0.0,0.0,53.0,113757.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1033.0,0.0,548.0,0.0,0.0,Cecum,D14C
D14E05D,0.0,36.0,423.0,0.0,4518.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,103116.0,50.0,285.0,0.0,141.0,0.0,0.0,0.0,8542.0,0.0,81.0,355.0,0.0,Duodenum,D14D
D14E05I,0.0,0.0,0.0,0.0,654.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,139386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,Ileum,D14I
D14E05J,0.0,0.0,2.0,0.0,391.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,92151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,Jejunum,D14J
D14E06C,0.0,0.0,255.0,0.0,26185.0,0.0,19.0,0.0,0.0,0.0,0.0,645.0,136206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1934.0,0.0,673.0,0.0,0.0,Cecum,D14C
D14E06D,10.0,0.0,478.0,0.0,2820.0,0.0,0.0,0.0,10.0,0.0,0.0,61.0,104132.0,42.0,0.0,0.0,108.0,0.0,0.0,0.0,2397.0,12.0,30.0,110.0,0.0,Duodenum,D14D
