index,k__Fungi;p__Ascomycota,k__Fungi;p__Basidiobolomycota,k__Fungi;p__Basidiomycota,k__Fungi;p__Chytridiomycota,k__Fungi;p__Glomeromycota,k__Fungi;p__Mortierellomycota,k__Fungi;p__Mucoromycota,k__Fungi;p__Olpidiomycota,k__Fungi;p__Rozellomycota,k__Fungi;p__unidentified,Group1,Group2
D01E08C,387090.0,0.0,27318.0,1350.0,113.0,0.0,655.0,0.0,0.0,0.0,Cecum,D01C
D01E08D,49734.0,0.0,36944.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Duodenum,D01D
D01E08I,25699.0,0.0,2260.0,104.0,0.0,0.0,29.0,0.0,0.0,0.0,Ileum,D01I
D01E08J,122731.0,0.0,52843.0,150.0,0.0,0.0,230.0,0.0,0.0,0.0,Jejunum,D01J
D01E09C,173846.0,0.0,5250.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,Cecum,D01C
D01E09D,89132.0,0.0,46767.0,0.0,0.0,0.0,251.0,0.0,0.0,0.0,Duodenum,D01D
D01E09I,208548.0,0.0,13043.0,131.0,0.0,0.0,613.0,0.0,0.0,0.0,Ileum,D01I
D01E09J,185495.0,0.0,37432.0,194.0,0.0,0.0,437.0,0.0,0.0,0.0,Jejunum,D01J
D01E10C,104138.0,0.0,100212.0,0.0,0.0,0.0,233.0,0.0,0.0,0.0,Cecum,D01C
D01E10D,87355.0,0.0,29195.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,Duodenum,D01D
D01E10I,238686.0,0.0,13423.0,129.0,0.0,0.0,2987.0,0.0,0.0,0.0,Ileum,D01I
D01E10J,142630.0,0.0,22257.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,Jejunum,D01J
D04E01C,223202.0,0.0,80472.0,21.0,1329.0,10654.0,125.0,4.0,0.0,0.0,Cecum,D04C
D04E01D,143610.0,0.0,9075.0,89.0,222.0,9564.0,35.0,0.0,0.0,0.0,Duodenum,D04D
D04E01I,109217.0,0.0,79738.0,20.0,0.0,634.0,161.0,0.0,0.0,0.0,Ileum,D04I
D04E01J,63717.0,0.0,5701.0,0.0,52.0,338.0,104.0,0.0,0.0,0.0,Jejunum,D04J
D04E02C,158835.0,0.0,48808.0,16.0,908.0,6363.0,5.0,0.0,0.0,0.0,Cecum,D04C
D04E02D,276341.0,0.0,39302.0,0.0,0.0,8133.0,0.0,0.0,0.0,0.0,Duodenum,D04D
D04E02I,109964.0,0.0,54647.0,0.0,48.0,429.0,44.0,0.0,0.0,0.0,Ileum,D04I
D04E02J,62150.0,0.0,1999.0,19.0,23.0,929.0,19.0,0.0,0.0,0.0,Jejunum,D04J
D04E03C,259149.0,0.0,46779.0,65.0,2121.0,13689.0,4.0,29.0,0.0,0.0,Cecum,D04C
D04E03D,92196.0,0.0,29008.0,0.0,260.0,2944.0,122.0,0.0,0.0,0.0,Duodenum,D04D
D04E03I,211378.0,0.0,68428.0,0.0,0.0,4941.0,432.0,0.0,0.0,0.0,Ileum,D04I
D04E03J,88491.0,0.0,1808.0,0.0,87.0,722.0,0.0,0.0,0.0,0.0,Jejunum,D04J
D04E04C,208795.0,0.0,54477.0,36.0,946.0,8458.0,39.0,0.0,0.0,0.0,Cecum,D04C
D04E04D,86925.0,0.0,39430.0,0.0,349.0,2500.0,118.0,0.0,0.0,0.0,Duodenum,D04D
D04E04I,84458.0,0.0,117910.0,15.0,0.0,19.0,145.0,0.0,0.0,0.0,Ileum,D04I
D04E04J,57772.0,0.0,12093.0,0.0,123.0,386.0,79.0,0.0,0.0,0.0,Jejunum,D04J
D04E05C,237304.0,0.0,39946.0,58.0,883.0,12908.0,0.0,8.0,0.0,0.0,Cecum,D04C
D04E05D,237222.0,0.0,37823.0,73.0,827.0,12620.0,0.0,0.0,0.0,0.0,Duodenum,D04D
D04E05I,146074.0,0.0,49843.0,0.0,121.0,2467.0,1953.0,0.0,0.0,0.0,Ileum,D04I
D04E05J,65187.0,0.0,9397.0,0.0,35.0,362.0,357.0,0.0,0.0,0.0,Jejunum,D04J
D04E06C,200242.0,0.0,103901.0,52.0,2548.0,12073.0,14.0,15.0,39.0,0.0,Cecum,D04C
D04E06D,75270.0,0.0,26411.0,126.0,323.0,1862.0,44.0,0.0,0.0,0.0,Duodenum,D04D
D04E06I,63607.0,0.0,199554.0,0.0,179.0,932.0,927.0,0.0,0.0,0.0,Ileum,D04I
