"","Genus","Cluster","Importance"
"192","Clostridium.sensu.stricto.11",1,0.00010866444266867
"193","gut.metagenome.1",1,0.000110097111951918
"194","uncultured.Clostridia.bacterium",1,0.00332877642866373
"195","uncultured.Firmicutes.bacterium",1,0.00445801570730651
"196","uncultured.Thermoanaerobacterales.bacterium",1,0.000108664443204371
"197","uncultured.bacterium.15",1,0.0336106744036437
"198","uncultured.organism.1",1,0.0011747256031365
"199","uncultured.prokaryote",1,0.000108664443016657
"200","uncultured.rumen.bacterium.1",1,0.000108664443151651
"201","X__.28",1,0.0033093587890359
"202","Defluviitaleaceae.UCG.011",1,0.000108664443117827
"203","Anaerofustis",1,0.000108664442992481
"204","Anaerococcus",1,0.00010867317505165
"205","Ezakiella",1,0.000108664442989374
"206","Finegoldia",1,0.000108673175550723
"207","Gottschalkia",1,0.000108664442876419
"208","Murdochiella",1,0.000108664443177121
"209","Parvimonas",1,0.000108664442879953
"210","Peptoniphilus",1,0.000108664443097978
"211","Family.XIII.AD3011.group",1,0.000108664443083913
"212","Family.XIII.UCG.001",1,0.000108664443131481
"213","S5.A14a",1,0.000108664443081768
"214","X.Eubacterium..brachy.group",1,0.000108664443108584
"215","X.Eubacterium..nodatum.group",1,0.000108664443124186
"216","X__.29",1,0.00010866444310295
"217","ASF356",1,0.000108673175232842
"218","Acetitomaculum",1,0.00551980947035596
"219","Agathobacter",1,0.00557459705647446
"220","Anaerostipes",1,0.00997550803398554
"221","Blautia",1,0.0594328996543272
"222","Butyrivibrio",1,0.000108664443204957
"223","CAG.56",1,0.000108664443167247
"224","CHKCI001",1,0.0317447522373763
"225","Coprococcus.2",1,0.00010866444337379
"226","Coprococcus.3",1,0.000108664443080467
"227","Dorea",1,0.000108664443128854
"228","Eisenbergiella",1,0.00117470418408587
"229","Epulopiscium",1,0.00117192924722983
"230","Fusicatenibacter",1,0.00117636495946379
"231","GCA.900066575",1,0.000108673177949538
"232","Lachnoclostridium",1,0.00332860816885994
"233","Lachnospira",1,0.00335341401191729
"234","Lachnospiraceae.FCS020.group",1,0.000108664443285034
"235","Lachnospiraceae.ND3007.group",1,0.00117608653718249
"236","Lachnospiraceae.NK4A136.group",1,0.0033397090450606
"237","Lachnospiraceae.UCG.003",1,0.00226178906457982
"238","Lachnospiraceae.UCG.004",1,0.000108664443130925
"239","Lachnospiraceae.UCG.010",1,0.000108664443095691
"240","Marvinbryantia",1,0.00011009718434515
"241","Roseburia",1,0.00226242891097938
"242","Sellimonas",1,0.0205884671057904
"243","Shuttleworthia",1,0.00225001015759116
"244","Tyzzerella",1,0.0044033700717007
"245","Tyzzerella.3",1,0.000108664443380494
"246","Tyzzerella.4",1,0.000108664443205852
"247","UC5.1.2E3",1,0.000108664443142634
"248","X.Eubacterium..eligens.group",1,0.000108664443050406
"249","X.Eubacterium..hallii.group",1,0.0292830929213497
"250","X.Eubacterium..ventriosum.group",1,0.000108664443092015
"251","X.Ruminococcus..gauvreauii.group",1,0.00882872879091763
"252","X.Ruminococcus..gnavus.group",1,0.000108664443008513
"253","X.Ruminococcus..torques.group",1,0.0411998234791911
"254","uncultured.9",1,0.00117329486370742
"255","X__.30",1,0.0647617221419878
"256","Peptococcus",1,0.000108664443177329
"257","uncultured.10",1,0.00117130521740772
"258","Clostridioides",1,0.000108664443140793
"259","Intestinibacter",1,0.000108664443046437
"260","Peptostreptococcus",1,0.000108664443154174
"261","Romboutsia",1,0.086010614896801
"262","X__.31",1,0.0298748531331063
"263","Anaerofilum",1,0.0011734534938648
"264","Anaerotruncus",1,0.00116319089045266
"265","Angelakisella",1,0.000108664443119545
"266","Butyricicoccus",1,0.0181183374696955
"267","CAG.352",1,0.00010866444307727
"268","Candidatus.Soleaferrea",1,0.000108664443119746
"269","Caproiciproducens",1,0.000108664443394601
"270","DTU089",1,0.00117193208945158
"271","Faecalibacterium",1,0.0922724581470968
"272","Flavonifractor",1,0.00551526429928241
"273","Fournierella",1,0.00550563430865815
"274","GCA.900066225",1,0.00117267781896654
"275","Harryflintia",1,0.000108664443094676
"276","Hydrogenoanaerobacterium",1,0.000110097152137528
"277","Intestinimonas",1,0.00333194826043336
"278","Negativibacillus",1,0.00661742584348417
"279","Oscillibacter",1,0.00117671001906885
"280","Oscillospira",1,0.00117265772393641
"281","Papillibacter",1,0.000108664443102436
"282","Phocea",1,0.000108664443207111
"283","Pseudoflavonifractor",1,0.000108664442987782
"284","Ruminiclostridium",1,0.00661544354305589
"285","Ruminiclostridium.1",1,0.000108664443140552
"286","Ruminiclostridium.5",1,0.00440181703846096
