"","Genus","Cluster","Importance"
"274","Gibberella",1,0.244840901028512
"275","Ilyonectria",1,0.000823295742673126
"276","Nectria",1,0.0413484183384109
"277","Neocosmospora",1,0.000822856250480695
"278","Neonectria",1,7.68247523721753e-05
"279","Volutella",1,0.00233259909221465
"280","Eucasphaeria",1,0.0315658389478338
"281","X__.45",1,7.68247523721509e-05
"282","Drechmeria",1,7.68247622093399e-05
"283","Harposporium",1,0.000823216844364468
"284","Ophiocordyceps",1,0.00157406895688928
"285","Purpureocillium",1,0.00943032081255922
"286","X__.46",1,0.0694568117916923
"287","Achroiostachys",1,0.00387190175308469
"288","Alfaria",1,0.00157550776254055
"289","Myrothecium",1,0.00624170089880371
"290","Paramyrothecium",1,0.0584035850533077
"291","Stachybotrys",1,0.126544836602746
"292","Striatibotrys",1,0.00389142908671828
"293","unidentified.27",1,7.68247523721256e-05
"294","Tilachlidium",1,0.00308772525551557
"295","unidentified.28",1,0.115267562349341
"296","X__.47",1,0.00387749472399266
"297","Falciphora",1,0.00233349976062864
"298","Gaeumannomyces",1,0.000821621123393211
"299","Harpophora",1,7.682475237216e-05
"300","Magnaporthe",1,0.00386164131234162
"301","Magnaporthiopsis",1,0.0271538165246405
"302","Ophioceras",1,7.68247523721548e-05
"303","Pyricularia",1,0.00387395040320225
"304","Slopeiomyces",1,0.000823581327260101
"305","unidentified.29",1,7.68247523721565e-05
"306","Melanospora",1,0.0307055005100643
"307","Aniptodera",1,7.68247523721594e-05
"308","unidentified.30",1,7.68247523721594e-05
"309","X__.48",1,0.00858074108554856
"310","Acaulium",1,0.028068022486954
"311","Cephalotrichum",1,0.0172845108537254
"312","Kernia",1,0.0140543396196242
"313","Microascus",1,0.0956051487152953
"314","Petriella",1,7.68247523721514e-05
"315","Pithoascus",1,0.0646451508347711
"316","Scedosporium",1,0.0195148125673386
"317","Scopulariopsis",1,0.0127933295925026
"318","unidentified.31",1,0.00926376982419146
"319","Cephalotrichiella",1,0.00158295919694802
"320","Wardomyces",1,0.004643007592512
"321","Myrmecridium",1,0.011016295921735
