D01E01D D01E02D D01E03D D01E04D D01E05D D01E06D D01E07D D01E08D D01E09D D01E10D D04E01D D04E02D D04E03D D04E04D D04E05D D04E06D D04E07D D04E08D D04E09D D04E10D D07E01D D07E02D D07E03D D07E04D D07E05D D07E06D D07E07D D07E08D D07E09D D07E10D D14E01D D14E02D D14E03D D14E04D D14E05D D14E06D D14E07D D14E08D D14E09D D14E10D D21E01D D21E02D D21E03D D21E04D D21E05D D21E06D D21E07D D21E08D D21E09D D21E10D D28E01D D28E02D D28E03D D28E04D D28E05D D28E06D D28E07D D28E08D D28E09D D28E10D D35E01D D35E02D D35E03D D35E04D D35E05D D35E06D D35E07D D35E08D D35E09D D35E10D D42E01D D42E02D D42E03D D42E04D D42E05D D42E06D D42E07D D42E08D D42E09D D42E10D
D07E02D 0.43 0.96 0.74 0.91 0.77 0.63 0.9 0.43 0.65 0.72 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0.67 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.97 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.99 -1 -1 -1 -1
D07E03D 1 1 1 1 1 1 1 1 1 1 0.94 -0.52 -0.75 -0.95 0.99 -0.98 -0.41 -0.98 -0.95 -0.98 -0.91 -1 0 -0.94 0.26 -1 -0.99 -0.84 -1 -1 -1 -0.86 -0.91 -0.89 -1 -1 -0.88 -0.99 1 -1 -0.76 -1 -0.78 -1 -0.99 -0.41 -0.89 -1 -0.97 -0.76 -0.65 -0.97 -0.88 0.42 0.49 -0.5 0.79 -0.29 -0.91 -0.78 -0.99 -0.69 -0.96 -0.85 -0.95 -0.46 0.68 -0.73 -0.6 -0.19 0.67 -0.61 -0.88 0.56 0.93 0.21 -0.14 -0.99 0.19 0.48
D07E04D 0.93 0.98 0.96 1 0.78 0.33 0.99 0.77 0.94 0.96 -0.98 -1 -1 -1 -0.04 -1 -1 -1 -1 -1 -1 -1 -0.94 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0.48 -1 -0.99 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.97 -0.93 -1 -0.87 -1 -1 -1 -1 -0.99 -1 -1 -1 -0.98 -1 -1 -1 -1 -0.99 -1 -1 -1 -1 -0.99 -0.93 -1 -0.98 -0.99
D07E05D 1 1 1 1 1 1 1 1 1 1 -0.99 -0.98 -1 -1 -0.67 -1 -0.99 -1 -1 -1 -1 -1 0.26 -1 0 -1 -1 -1 -1 -1 -1 -0.94 -0.97 -0.99 -1 -1 -1 -1 -0.47 -1 -0.48 -1 -1 -1 -1 -0.91 -1 -1 -1 -0.93 -0.98 -0.99 -0.99 -0.44 -0.95 -0.76 0.97 -0.04 -0.74 -0.66 -1 -1 -0.99 -0.95 -1 -1 -0.95 -0.56 -0.56 -0.57 -0.96 -0.98 -0.99 -0.98 -0.92 0.47 0.05 -0.97 0.52 0.66
D07E06D 0.89 0.86 0.74 0.89 0.85 -0.03 0.97 0.61 0.85 0.82 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
D07E07D -0.78 0.25 -0.09 0.58 -0.44 -0.86 -0.26 -0.55 -0.26 -0.18 -1 -1 -1 -1 -0.97 -1 -1 -1 -1 -1 -1 -1 -0.99 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.98 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.99
D07E08D 0.01 0.36 -0.05 0.24 0.4 -0.21 0.55 -0.83 0.55 0.56 -0.99 -1 -1 -1 -0.96 -1 -1 -1 -1 -1 -1 -1 -0.84 -1 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0.35 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.91 -1 -1 -0.99 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
D07E09D 0 0.41 0.19 0.71 -0.05 -0.66 0.36 -0.41 0.36 0.27 -1 -1 -1 -1 -0.97 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.82 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.98 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
D07E10D 0.67 0.85 0.86 1 0.91 0.83 0.99 0.67 0.87 0.98 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -0.34 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.97 -0.99 -1 -0.98 -1 -1 -1 -1 -1 -1 -0.99 -1 -1 -1 -1 -1 -1 -0.98 -0.99 -0.98 -1 -1 -1 -0.99
D14E01D 0.12 0.62 0.57 0.6 0.51 -0.21 0.89 0.75 0.57 0.54 -1 -1 -1 -1 -0.95 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 -0.91 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
D14E02D 0.98 0.94 0.99 1 0.95 0.87 1 0.87 0.99 0.99 -0.86 -1 -0.99 -1 -0.36 -1 -1 -1 -1 -1 -1 -1 -0.86 -1 -0.94 -1 -1 -1 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 -0.83 -1 -1 -1 -1 -1 -1 -1 -0.99 -1 -1 -1 -0.88 -1 -1 -0.92 -0.98 -0.98 -0.96 -0.99 -1 -0.98 -1 -1 -1 -1 -1 -1 -0.99 -1 -1 -1 -1 -1 -1 -0.98 -0.99 -0.96 -1 -1 -1 -1
D14E03D 0.75 0.95 0.93 0.98 0.22 0.27 0.98 0.84 0.93 0.65 -0.92 -1 -1 -1 -0.75 -1 -1 -1 -1 -1 -1 -1 -0.91 -1 -0.97 -1 -1 -1 -1 -1 -1 -1 0 -1 -1 -1 -1 -1 -0.64 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.99 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.99 -1 -1 -1 -1
D14E04D 0.9 1 0.95 0.96 0.88 0.58 0.99 0.64 0.99 0.84 -0.99 -1 -1 -1 -0.97 -1 -1 -1 -1 -1 -1 -1 -0.89 -1 -0.99 -1 -1 -1 -1 -1 -1 -1 -1 0 -1 -1 -1 -1 -0.7 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.99 -0.8 -1 -0.99 -0.83 -1 -1 -1 -1 -1 -0.9 -1 -1 -1 -1 -1 -1 -0.99 -1 -1 -1 -0.98 -0.99 -1 -1 -1 -1
D14E05D 0.98 1 0.99 1 0.99 0.96 1 0.81 0.92 0.94 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.99 -1 -0.86 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.99 -1 -1 -1 -1 -1 -1 -0.99 -0.88 -0.95 -1 -0.99 -0.84
D14E06D 0.73 0.99 0.97 1 0.87 0.77 0.99 0.58 0.91 0.97 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 -1 -1 -0.99 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.99
D14E07D 0.98 1 0.99 1 0.96 0.94 1 0.87 0.96 0.98 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.88 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 -1 -0.74 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.91 -0.94 -1 -0.88 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.99 -0.93 -1 -1 -1 -0.98
D14E08D 0.97 1 0.96 1 0.98 0.98 1 0.89 0.99 0.96 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.99 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 -0.99 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.9 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.95 -1 -1 -1 -0.98
D14E09D 1 1 1 1 1 1 1 1 1 1 -1 0.07 -0.24 -0.96 0.73 -1 0.19 -0.85 -0.65 -0.97 -0.99 0.67 1 0.48 -0.47 -1 -0.98 0.35 -0.82 -0.34 -0.91 -0.83 -0.64 -0.7 -1 -0.99 -0.74 -0.99 0 -0.97 0.54 -0.98 -0.72 -0.73 -0.93 -0.44 -0.78 -1 -0.99 0.47 -0.43 -0.69 -0.73 -0.14 -0.76 -0.37 0.98 0.91 0.29 -0.04 -0.67 -0.42 -0.53 -0.25 -0.97 -1 -0.55 0.52 0.79 -0.53 0.58 -0.88 -0.77 -0.53 -0.2 0.91 0.68 -0.43 0.84 0.88
D14E10D 0.8 1 0.98 1 0.88 0.89 1 0.65 0.94 0.97 -1 -1 -1 -1 -0.97 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.97 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.99 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.97 -0.98 -0.99 -1 -1 -0.99
D21E01D 0.76 0.94 0.91 0.98 0.99 0.74 0.94 0.89 0.87 0.91 -0.93 -1 -0.99 -1 0.34 -1 -0.99 -1 -1 -1 -1 -1 -0.76 -0.99 -0.48 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0.54 -1 0 -1 -0.99 -0.96 -0.99 -1 -1 -1 -1 -1 -0.98 -1 -1 -0.89 -0.98 -1 -0.96 -0.99 -0.99 -0.96 -1 -1 -1 -1 -0.95 -0.98 -0.81 -0.99 -1 -1 -0.96 -1 -0.99 -0.97 -0.97 -0.7 -1 -1 -1 -0.98
