D01E01C D01E02C D01E03C D01E04C D01E05C D01E06C D01E07C D01E08C D01E09C D01E10C D04E01C D04E02C D04E03C D04E04C D04E05C D04E06C D04E07C D04E08C D04E09C D04E10C D07E01C D07E02C D07E03C D07E04C D07E05C D07E06C D07E07C D07E08C D07E09C D07E10C D14E01C D14E02C D14E03C D14E04C D14E05C D14E06C D14E07C D14E08C D14E09C D14E10C D21E01C D21E02C D21E03C D21E04C D21E05C D21E06C D21E07C D21E08C D21E09C D21E10C D28E01C D28E02C D28E03C D28E04C D28E05C D28E06C D28E07C D28E08C D28E09C D28E10C D35E01C D35E02C D35E03C D35E04C D35E05C D35E06C D35E07C D35E08C D35E09C D35E10C D42E01C D42E02C D42E03C D42E04C D42E05C D42E06C D42E07C D42E08C D42E09C D42E10C
D14E06C -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 -1 -1 -1 -1 -1 -0.97 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.99 -1 -1 -1 -1 -1 -1 -1 -0.99 -0.98 -0.98 -0.98 -0.98 -1 -1 -1 -1 -0.99 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
D14E07C -0.38 -0.95 -0.73 -0.9 -0.58 0.23 -0.35 0.09 -0.83 -0.21 -1 -1 -1 -0.99 -1 -1 -1 -0.79 -1 -1 -1 -1 -1 -0.99 -1 -0.99 -0.99 -1 -0.99 -0.95 -1 -1 -1 -1 -1 -1 0 -1 -1 -1 -1 0.05 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.93 -0.99 -1 -1 -1 -1 -1 -1 -0.96 -0.88 -0.97 -0.92 -0.97 -1 -0.96 -1 -0.99 -0.9 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
D14E08C -0.96 -0.87 -0.98 -0.98 -1 -0.86 -0.7 -0.87 -0.99 -0.98 -1 -1 -1 -1 -0.98 -1 -1 -1 -1 -1 -1 -1 -1 -0.99 -1 -1 -0.99 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 -1 -1 -1 -0.83 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.9 -1 -1 -1 -1 -1 -1 -1 -0.99 -0.98 -0.97 -0.97 -0.89 -0.99 -1 -1 -0.99 -0.96 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
D14E09C -0.85 -0.82 -0.82 -0.99 -0.99 -0.83 -0.98 -0.74 -1 -0.94 -0.99 -1 -1 -1 -0.99 -1 -0.95 -0.25 -1 -1 -0.98 -1 -0.87 -0.95 -0.98 -1 -0.69 -1 -1 -0.99 -1 -1 -1 -1 -1 -1 -1 -1 0 -1 -1 0.24 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.84 -0.99 -1 -1 -1 -1 -1 -1 -0.95 -0.72 -0.92 -0.63 -0.59 -0.78 -0.84 -0.99 -0.65 -0.79 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
D14E10C -0.98 -0.97 -0.88 -0.97 -0.96 -0.81 -0.37 -0.48 -0.99 -0.83 -1 -1 -1 -1 -1 -1 -1 -1 -0.97 -1 -0.99 -1 -1 -1 -1 -1 -0.92 -1 -1 -0.99 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.95 -1 -1 -1 -1 -1 -1 -1 -0.97 -0.89 -1 -0.79 -0.97 -0.98 -0.99 -0.99 -0.99 -0.95 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
D21E01C -0.91 -0.99 -1 -0.95 -1 -0.58 -0.94 -0.82 -1 -0.95 -1 -1 -1 -1 -1 -1 -1 -0.94 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 -0.62 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.96 -1 -1 -1 -1 -1 -1 -1 -1 -0.99 -0.99 -1 -1 -1 -1 -1 -0.99 -0.99 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
D21E02C 1 1 1 1 1 1 1 1 1 1 0.48 0.22 0.97 -0.98 -0.58 0.52 0.9 0.21 0.92 0.92 0.96 0.26 0.47 0.71 0.89 -0.5 0.39 0.46 -0.19 -0.31 -0.99 -1 -1 -0.95 -0.97 -0.97 0.05 -0.83 0.24 -1 -0.62 0 -1 -0.98 -0.99 -0.87 -1 -1 -0.37 -1 -1 -1 -1 -1 -0.94 -0.99 -1 -1 -1 -1 0.59 0.71 -0.67 0.92 0.68 0.59 0.08 -0.92 -0.07 0.55 -0.75 -1 -1 -0.69 0.74 -0.63 -0.21 -0.99 -0.7 -0.88
D21E03C 0.77 0.64 0.27 0.44 -0.06 0.91 0.92 0.94 0.67 0.87 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
D21E04C -0.94 -0.99 -0.9 -0.91 -0.97 -0.81 -0.7 -0.57 -0.96 -0.95 -1 -1 -1 -1 -1 -1 -1 -1 -0.98 -1 -1 -1 -1 -1 -1 -1 -0.91 -1 -1 -0.99 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.98 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -0.98 -1 -1 -1 -1 -1 -1 -1 -0.98 -0.97 -0.99 -0.95 -0.99 -0.99 -1 -1 -1 -0.97 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
D21E05C 0.01 -0.36 -0.61 -0.78 -0.81 0.04 0.05 0.11 -0.64 -0.03 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.99 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.97 -0.96 -1 -1 -1 -0.99 -0.99 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
