D01E01I D01E02I D01E03I D01E04I D01E05I D01E06I D01E07I D01E08I D01E09I D01E10I D04E01I D04E02I D04E03I D04E04I D04E05I D04E06I D04E07I D04E08I D04E09I D04E10I D07E01I D07E02I D07E03I D07E04I D07E05I D07E06I D07E07I D07E08I D07E09I D07E10I D14E01I D14E02I D14E03I D14E04I D14E05I D14E06I D14E07I D14E08I D14E09I D14E10I D21E01I D21E02I D21E03I D21E04I D21E05I D21E06I D21E07I D21E08I D21E09I D21E10I D28E01I D28E02I D28E03I D28E04I D28E05I D28E06I D28E07I D28E08I D28E09I D28E10I D35E01I D35E02I D35E03I D35E04I D35E05I D35E06I D35E07I D35E08I D35E09I D35E10I D42E01I D42E02I D42E03I D42E04I D42E05I D42E06I D42E07I D42E08I D42E09I D42E10I
D07E01I -0.95 -1 -0.95 -1 -0.87 -1 -0.95 -1 -0.88 -0.78 -1 -0.78 -1 -1 -1 -1 -1 -1 -1 -0.63 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.9 -0.98 -0.94 -1 -0.98 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0.36 -1 -0.99 -0.93 -0.99 -1 -1 -1 -0.98 -1 -1 -1 -1 -1
D07E02I -0.66 -0.92 -0.68 -0.89 -0.37 -0.87 -0.76 -0.93 -0.44 -0.51 -1 -1 -1 -1 -1 -1 -0.97 -1 -1 -0.2 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.83 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.99 -0.18 -1 -0.82 -0.93 -0.85 -1 -1 -1 -0.84 -1 -1 -1 -1 -1
D07E03I -1 -1 -1 -1 -1 -1 -0.99 -0.99 -0.98 -0.99 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.72 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.89 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.45 -1 -0.99 -0.89 -1 -1 -1 -1 -0.97 -1 -1 -1 -1 -1
D07E04I -0.95 -1 -0.94 -1 -0.91 -1 -0.99 -1 -0.94 -0.95 -1 -0.97 -1 -1 -1 -1 -1 -1 -1 0.87 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0.61 -1 -1 -1 -0.96 -1 -1 -1 -1 -1 -1 -0.99 -1 -1 -1 -1 -1 -1 -1 -1 -0.98 0.92 -1 -0.34 -0.39 -0.93 -1 -1 -0.96 -0.77 -1 -1 -1 -1 -1
D07E05I -1 -1 -0.99 -1 -0.97 -1 -1 -1 -0.93 -0.99 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.61 -1 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.94 -1 -1 -1 -0.98 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.45 -1 -0.96 -0.96 -1 -1 -1 -1 -0.99 -1 -1 -1 -0.99 -1
D07E06I -0.89 -0.97 -0.48 -0.99 -0.62 -0.9 -0.8 -0.95 -0.37 -0.43 -1 -1 -1 -1 -1 -1 -0.99 -1 -1 -0.1 -1 -1 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.67 -1 -1 -1 -0.98 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.99 0.41 -1 -0.93 -0.92 -0.99 -1 -1 -1 -0.99 -1 -1 -1 -0.75 -1
D07E07I -0.69 -0.94 -0.45 -0.85 -0.16 -0.75 -0.3 -0.78 -0.05 -0.5 -1 -0.99 -1 -1 -1 -1 -0.94 -1 -1 -0.71 -1 -1 -1 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.99 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.98 -1 -1 -1 -1 -1 -1 -1 -1 -0.99 -1 -0.95 -1 -1 -0.99 -1 -1 -0.99 -1 -1 -1 -1 -1 -1 -1
D07E08I -0.95 -0.98 -0.88 -1 -0.7 -1 -0.93 -0.96 -0.88 -0.89 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.15 -1 -1 -1 -1 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.87 -1 -1 -1 -0.95 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.62 -1 -1 -0.97 -1 -1 -1 -1 -0.99 -1 -1 -1 -1 -1
D07E09I -1 -1 -0.99 -1 -0.97 -1 -0.98 -1 -0.95 -0.98 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.98 -1 -1 -1 -1 -1 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
D07E10I -1 -1 -1 -1 -0.98 -1 -0.98 -1 -1 -0.97 -1 -0.99 -1 -1 -1 -1 -1 -1 -1 -0.23 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.98 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.99 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.19 -1 -1 -0.99 -1 -1 -1 -1 -0.99 -1 -1 -1 -1 -1
