D01E01I D01E02I D01E03I D01E04I D01E05I D01E06I D01E07I D01E08I D01E09I D01E10I D04E01I D04E02I D04E03I D04E04I D04E05I D04E06I D04E07I D04E08I D04E09I D04E10I D07E01I D07E02I D07E03I D07E04I D07E05I D07E06I D07E07I D07E08I D07E09I D07E10I D14E01I D14E02I D14E03I D14E04I D14E05I D14E06I D14E07I D14E08I D14E09I D14E10I D21E01I D21E02I D21E03I D21E04I D21E05I D21E06I D21E07I D21E08I D21E09I D21E10I D28E01I D28E02I D28E03I D28E04I D28E05I D28E06I D28E07I D28E08I D28E09I D28E10I D35E01I D35E02I D35E03I D35E04I D35E05I D35E06I D35E07I D35E08I D35E09I D35E10I D42E01I D42E02I D42E03I D42E04I D42E05I D42E06I D42E07I D42E08I D42E09I D42E10I
D07E01I 1 0.93 0.95 0.98 0.99 1 0.68 1 0.95 0.85 -0.81 0.8 -0.59 -0.95 0.1 -0.17 0.23 0.88 -0.98 0.82 0 -0.95 -0.13 -0.97 0.48 -0.44 0.84 -0.79 -0.94 -0.61 -0.92 -0.58 0.41 0.36 0.91 -0.9 0.63 -0.79 0.64 0.98 0.57 -0.52 -0.64 -0.79 0.94 -0.42 -0.8 -0.21 -0.52 0.93 -0.88 -0.62 -0.57 0.03 0.88 0.99 0.94 0.62 0.79 0.91 -0.97 0.12 -0.05 0.68 1 0.23 0.07 1 -0.89 0.31 -0.28 -0.81 0.19 -0.73 -0.05 -0.39 -0.44 0.29 -0.51 -0.02
D07E02I 0.98 0.86 0.89 0.93 0.97 1 0.56 1 0.89 0.74 -0.99 -0.97 -0.97 -0.98 -0.96 -0.25 -0.32 0.31 -0.98 -0.92 -0.95 0 -0.95 -0.99 -0.87 -0.98 -0.6 -1 -0.99 -0.99 -1 -1 -0.26 -0.91 -0.8 -0.96 -0.58 -0.96 -0.29 -0.03 -1 -1 -0.78 -1 -0.66 -0.99 -0.98 -0.97 -1 -0.94 -0.99 -0.99 -0.98 -0.97 -0.75 0.7 -0.71 -0.84 -0.92 -0.39 -1 -0.99 -1 -0.67 0.38 -0.97 -1 0.85 -1 -0.97 -0.99 -0.99 -0.34 -0.96 -0.81 -0.97 -0.98 -0.99 -1 -0.67
D07E03I 0.99 0.9 0.93 0.96 0.99 1 0.63 1 0.93 0.81 -0.97 0 -1 -1 -0.95 0.01 -0.44 0.05 -1 0.5 -0.13 -0.95 0 -1 0.43 -0.97 0.25 -1 -0.99 -0.96 -1 -0.83 -0.73 -0.94 -0.96 -0.95 -0.79 -0.99 -0.09 0.81 -0.99 -1 -0.96 -0.91 -0.97 -0.99 -1 -0.99 -1 -0.53 -1 -1 -0.98 -1 -0.66 -0.06 -0.7 -0.53 -0.95 -0.69 -1 -0.96 -0.94 -0.17 0.88 -0.88 -0.96 0.6 -0.97 -0.94 -0.99 -1 0.15 -0.98 -0.97 -0.92 -0.97 -0.92 -0.99 -0.99
D07E04I 0.98 0.84 0.88 0.93 0.8 1 0.55 1 0.88 0.74 -1 -0.04 -0.92 -1 -0.97 -0.59 -0.87 -0.28 -1 -0.77 -0.97 -0.99 -1 0 -0.35 -0.97 -0.82 -1 -1 -1 -1 -0.96 -0.98 -0.97 -0.47 -1 -0.99 -1 -0.96 -0.43 -0.91 -1 -0.96 -1 -0.74 -1 -1 -1 -1 -0.29 -0.99 -1 -1 -0.99 -0.26 -0.62 -0.52 -0.55 -0.91 0.2 -1 -0.71 -0.98 -0.31 -0.05 -0.89 -0.94 0.27 -1 -0.91 -0.97 -1 -0.48 -0.99 -1 -0.99 -0.99 -0.98 -1 -0.86
D07E05I 1 0.99 0.99 1 1 1 0.84 1 0.99 0.96 0.22 0.99 0.17 -0.34 0.33 1 0.98 0.77 -0.67 0.64 0.48 -0.87 0.43 -0.35 0 0.62 0.99 -0.53 0.49 0.08 -0.56 -0.39 0.92 0.93 0.67 0.45 0.88 -0.32 0.96 0.84 0.47 -0.42 0.05 0.6 0.95 0.11 -0.27 0.58 0.29 0.74 -0.58 0.3 0.11 0.48 0.97 1 1 0.78 0.97 0.96 -0.88 0.47 0.66 0.99 0.85 0.71 0.96 0.43 -0.17 0.39 0.61 -0.93 0.98 -0.28 0.66 0.66 -0.71 0.65 -0.4 0.61
D07E06I 0.97 0.8 0.84 0.9 0.95 0.99 0.5 1 0.84 0.68 -1 -0.82 -1 -1 -1 -0.8 -1 -0.17 -1 -0.69 -0.44 -0.98 -0.97 -0.97 0.62 0 -0.93 -1 -1 -1 -1 -1 0.01 -0.99 -0.94 -1 -1 -1 -0.94 -0.49 -1 -1 -1 -1 -0.97 -1 -1 -1 -1 -0.99 -1 -1 -1 -1 -0.88 -0.58 -0.96 -0.88 -1 -0.48 -1 -0.99 -0.98 -0.89 0.46 -0.98 -0.99 0.58 -1 -1 -1 -1 0.02 -1 -1 -1 -1 -1 -1 -0.99
D07E07I 0.94 0.52 0.64 0.77 0.9 0.99 -0.17 1 0.64 0.24 -0.92 0 -0.77 -0.95 -0.98 0.01 -0.63 0.98 -1 0.13 0.84 -0.6 0.25 -0.82 0.99 -0.93 0 -1 -1 -0.87 -1 -0.96 0.91 -0.35 0.66 -0.91 -0.79 -1 0.13 0.59 -0.7 -0.94 -0.96 -0.91 -0.18 -0.99 -1 -1 -0.94 -0.06 -1 -0.97 -0.9 -0.86 -0.66 -0.06 0.03 0.01 -0.62 0.9 -1 -0.83 -0.09 0.37 1 -0.4 -0.75 0.99 -0.9 -0.87 -0.77 -0.99 0.98 -0.9 -0.89 -0.96 -0.99 -0.74 -0.86 -0.62
D07E08I 0.89 0.66 0.7 0.78 0.85 0.97 0.37 0.93 0.7 0.54 -1 -0.76 -0.99 -1 -1 -1 -1 0.34 -1 -0.94 -0.79 -1 -1 -1 -0.53 -1 -1 0 -1 -1 -1 -0.99 -0.65 -1 -0.72 -1 -1 -1 -0.61 -0.26 -1 -1 -1 -1 -0.91 -1 -1 -1 -1 -0.81 -1 -1 -1 -1 -0.96 -0.78 -0.75 -0.54 -1 0.67 -1 -0.98 -0.98 -0.7 0.62 -0.87 -0.99 0.91 -1 -1 -1 -1 0.5 -1 -1 -0.99 -1 -0.97 -1 -0.98
D07E09I 0.91 0.69 0.74 0.8 0.89 0.97 0.39 0.95 0.74 0.56 -1 -0.62 -0.97 -1 -1 -0.95 -0.98 -0.72 -1 -0.96 -0.94 -0.99 -0.99 -1 0.49 -1 -1 -1 0 -1 -1 -1 -0.44 -1 -0.85 -1 -1 -1 -0.97 -0.77 -0.99 -1 -1 -1 -0.84 -1 -1 -1 -1 -0.97 -1 -1 -1 -1 -0.83 -0.62 -0.87 -0.83 -0.98 0.35 -1 -0.99 -0.99 -0.78 0.7 -0.97 -1 0.41 -1 -1 -1 -1 -0.06 -1 -1 -1 -1 -0.99 -1 -1
D07E10I 0.95 0.76 0.81 0.87 0.93 0.99 0.48 0.98 0.81 0.66 -1 -0.61 -0.78 -1 -1 -0.6 -0.93 0.62 -0.99 -0.34 -0.61 -0.99 -0.96 -1 0.08 -1 -0.87 -1 -1 0 -1 -0.99 -0.96 -0.99 -0.89 -1 -1 -1 -0.92 -0.53 -0.98 -1 -0.99 -1 -0.68 -1 -1 -1 -1 -0.9 -1 -1 -1 -1 -0.98 -0.52 -0.53 -0.73 -0.84 -0.06 -1 -0.99 -0.99 -0.59 0.96 -0.7 -0.99 0.25 -0.98 -1 -1 -1 -0.39 -1 -0.99 -1 -1 -1 -1 -1
